model,threshold,roc_auc,brier_score,accuracy,precision,recall,f1_score,installed_count,expected_cost,realized_cost,tn,fp,fn,tp
Logistic Regression,0.2,0.512423890472671,0.2497352110563975,0.385,0.385,1.0,0.555956678700361,600,1200000.0,1200000.0,0,369,0,231
Random Forest,0.2,0.5466687783760955,0.24912016690892377,0.385,0.38461538461538464,0.9956709956709957,0.5548854041013269,598,1199351.8523537845,1206000.0,1,368,1,230
Random Forest,0.5,0.5466687783760955,0.24912016690892377,0.54,0.41106719367588934,0.45021645021645024,0.4297520661157025,253,1888983.214238868,1776000.0,220,149,127,104
Logistic Regression,0.5,0.512423890472671,0.2497352110563975,0.5733333333333334,0.43315508021390375,0.35064935064935066,0.3875598086124402,187,2378584.5117129264,1874000.0,263,106,150,81
